Year,iso_code3,cost_enfu_fuel_kerosene_usd_per_m3
2015,DEU,274.0889068
2016,DEU,274.0889068
2017,DEU,274.0889068
2018,DEU,274.0889068
2019,DEU,274.0889068
2020,DEU,274.0889068
2015,DJI,274.0889068
2016,DJI,274.0889068
2017,DJI,274.0889068
2018,DJI,274.0889068
2019,DJI,274.0889068
2020,DJI,274.0889068
2015,DMA,274.0889068
2016,DMA,274.0889068
2017,DMA,274.0889068
2018,DMA,274.0889068
2019,DMA,274.0889068
2020,DMA,274.0889068
2015,DNK,274.0889068
2016,DNK,274.0889068
2017,DNK,274.0889068
2018,DNK,274.0889068
2019,DNK,274.0889068
2020,DNK,274.0889068
2015,DOM,1001.72125
2016,DOM,1001.72125
